city_name,country_code,lattitude,longitude,temp,wind_speed,cloudiness,humidity
haines junction,ca,56.75268079128486,-143.32358904040643,-25.6,0.76,86,68
oranjemund,na,-30.48335670790032,14.185567840923284,63.41,21.99,4,81
tessalit,ml,22.10763826397725,-0.8432557925806066,70.2,9.69,0,20
necochea,ar,-41.33495058748993,-57.8005741188999,73.0,4.0,1,41
atar,mr,22.78754448263983,-12.266496642890047,75.2,10.45,0,16
twin falls,us,41.81383041333123,-114.28303157385322,36.3,34.52,40,55
chokurdakh,ru,84.03401846558532,153.7353507999776,-16.33,14.32,100,88
samarai,pg,-11.15584623870663,152.63541498981016,80.02,7.83,100,84
san rafael,ar,-35.14377825431585,-68.58311589190733,87.6,3.49,0,17
la rioja,ar,-30.82617632566764,-66.96030757220217,94.82,10.6,100,23
khatanga,ru,81.72663823848487,101.73119517885556,-29.58,7.34,0,80
adrar,dz,27.051003417277585,3.84871823001086,65.3,7.85,0,36
batagay-alyta,ru,66.51672673878849,128.4461695393311,-40.81,1.61,2,79
tongchuan,cn,31.0244739752668,105.04540380149234,28.89,4.68,0,68
tortoli,it,39.72753856203215,11.214554882496884,46.99,5.32,0,78
derzhavinsk,kz,49.21852192996877,64.5496003646337,20.62,9.35,100,98
fuyang,cn,32.65882725683319,115.87736787418248,41.5,9.04,78,78
dhangadhi,np,28.738293443323357,80.8881991068236,49.82,1.79,0,59
akyab,mm,20.728340005017998,93.53265710663953,63.05,6.62,0,63
sevilla,es,37.349947059390544,-5.93037792948607,62.6,5.75,20,88
thompson,ca,56.50282302845852,-99.43417956311491,-13.0,5.75,40,77
tomigusuku,jp,26.83473937640761,125.71549793285294,62.6,14.97,20,72
ilulissat,gl,81.66933119403916,-44.752311158171125,10.4,1.14,20,56
mayumba,ga,-8.059162443766041,5.0438440648278515,79.12,4.88,100,85
te anau,nz,-40.80474967068772,163.08547933344755,48.02,4.65,59,78
nata,bw,-19.660433052423826,26.11905103396785,74.77,7.65,35,77
dalvik,is,68.8177930539106,-18.68049891997248,19.4,5.77,75,86
victoria,sc,1.987116927857997,55.40876644093515,80.6,14.97,40,78
avarua,ck,-55.61794683264496,-167.3473961853672,84.2,17.27,20,70
hofn,is,66.03368214468725,-12.753012211115816,26.6,12.66,0,59
anaconda,us,45.732591191853004,-113.48473239236941,30.2,13.8,40,47
poum,nc,-19.159321673538543,164.1566803131401,79.7,14.45,10,77
cockburn town,bs,26.843428863659682,-73.96132843539212,75.69,7.49,0,69
diamantino,br,-12.501551351474717,-55.261478589675804,83.53,5.21,80,75
sao filipe,cv,10.084995278038406,-26.290857285935118,75.74,4.07,0,67
airai,pw,16.332455555803804,141.41512265825622,61.75,3.56,100,100
yeniseysk,ru,58.42165635542395,91.81570678184374,-23.55,5.68,93,86
foz do iguacu,br,-25.689251420764577,-54.29962969777365,83.52,6.91,40,78
karratha,au,-19.176591112906408,115.49162097177071,84.36,11.01,0,42
chapais,ca,56.15139401876857,-73.22373978180829,21.2,6.91,90,73
hope,us,33.79088824147611,-93.92083143382165,55.4,10.0,19,46
inongo,cd,-1.5073951767585783,18.972563410951494,71.4,6.78,100,92
pangnirtung,ca,66.93416045811858,-60.19915300481571,-4.0,2.55,1,77
lebu,cl,-29.61644544923955,-99.20739278677527,61.23,10.96,100,68
namikupa,tz,-11.748718658813743,40.01700007059921,71.69,3.33,19,97
nuuk,gl,65.56558755296723,-48.40178427751468,19.2,12.66,1,63
dzhebariki-khaya,ru,62.87334360301409,136.925686913959,-52.04,0.81,77,75
kyabe,td,10.076082435602274,18.321588664998416,81.95,4.03,90,16
qaqortoq,gl,61.371522820945785,-47.170226357884786,37.4,35.68,75,32
jasper,ca,52.767779586400906,-118.09315506834926,6.8,11.5,100,61
san jose,gt,9.026501889398105,-91.90582789170072,92.19,2.84,16,42
inirida,co,4.6986733953951045,-68.11896160096343,86.27,5.28,69,66
codrington,ag,24.009137839634434,-44.45560222286585,71.98,4.61,75,94
svetlogorsk,ru,67.88951791037994,92.90335433465856,35.82,8.95,75,75
khokhlovo,ru,59.54114435042092,37.46152994233711,32.0,4.47,90,100
ancud,cl,-40.8344209416515,-104.71009667843762,56.17,13.8,20,59
inhambane,mz,-22.9251747920747,37.04225864895187,82.4,5.75,20,83
verkhoyansk,ru,70.2998620204701,132.79342256447524,-48.77,0.54,75,73
dukat,ru,62.033646513869115,154.65857983570027,-36.98,5.17,100,80
hamilton,bm,28.948416459171185,-67.16708377958628,69.94,17.27,75,83
northam,au,-31.717213935876828,116.56699958870911,63.63,14.97,0,42
saint-augustin,ca,51.060602946137266,-60.9333058532163,20.14,7.49,84,93
bethel,us,45.6246007341727,-165.7909720360039,12.2,11.5,90,85
atambua,id,-6.490372110455056,125.41785536626628,74.77,4.09,100,87
benguela,ao,-12.649853058940266,12.661204062584602,77.02,6.04,98,77
rio grande,br,-36.4034977181848,-46.84831070617955,72.68,9.22,75,88
molochnoye,ru,59.04415679865929,39.49581968129982,29.48,10.33,100,97
taoudenni,ml,23.855242367475157,-8.860417418445621,72.59,12.3,0,22
emba,kz,48.1994729414605,58.88252328253847,15.48,12.73,0,93
sao gabriel da cachoeira,br,1.868463335389123,-66.13230998906245,87.8,4.61,40,66
torbay,ca,46.045691740750215,-43.41348349424936,28.09,11.5,75,86
aksu,cn,40.486650391093406,78.51741044061828,17.69,1.41,0,88
vila,vu,-15.530659927861961,174.0056663751996,36.75,2.35,81,72
aripuana,br,-10.35912982618882,-60.77568155867844,85.84,0.4,67,64
laguna,br,-31.631687972593937,-43.39040407621718,81.23,10.65,100,75
bonavista,ca,50.80800431591595,-51.17963605655737,27.45,2.3,91,86
guerrero negro,mx,16.93749029900144,-125.26514021701593,62.85,6.31,100,38
hithadhoo,mv,-14.477720861251441,70.91506758614702,81.0,14.36,95,79
pathein,mm,17.319920105982817,93.04665912325481,70.2,6.38,0,83
poya,nc,-25.849340655786733,162.35864133679178,76.95,2.01,98,77
hukuntsi,bw,-24.15971944115337,21.463206660185563,79.83,12.01,100,21
port alfred,za,-82.08376729154551,42.51025470004686,64.99,1.99,16,95
conde,br,-15.923721275559117,-31.502280965211412,84.2,11.5,40,65
zhucheng,cn,35.64411162762252,119.22700533948148,33.84,16.08,0,71
bengkulu,id,-4.802752707772612,99.68235113499372,74.44,7.52,100,92
birao,cf,10.07912262275265,23.95167370476645,79.52,6.31,95,16
lompoc,us,31.731383951965242,-123.94971162974612,48.45,17.27,90,87
nyurba,ru,64.3903997252794,116.79563565002644,-45.81,2.53,89,78
neiafu,to,-17.619145793372496,-175.06945878460672,75.2,13.8,90,94
mosquera,co,3.4374601334288712,-79.60983713335503,68.0,5.75,40,40
constitucion,mx,11.94572452497222,-127.0900481504508,62.01,1.99,71,16
jalu,ly,24.283840614292643,21.366145805738142,50.95,10.71,0,56
half moon bay,us,30.543617773804073,-136.17923102130166,52.88,11.5,1,87
pundaguitan,ph,5.254739496708396,127.9787413856917,79.83,13.06,99,80
melo,uy,-32.41328595682969,-54.60142187063269,79.41,5.77,66,62
esso,ru,56.664437510523555,159.3420756038534,2.32,5.82,47,86
kinkala,cg,-4.375302590219306,14.452198676389656,77.0,9.22,100,78
kavaratti,in,11.064713013793906,66.31207586860538,80.56,9.6,26,66
sao joao da barra,br,-27.821004681236403,-31.46234763929968,86.0,25.32,0,45
menongue,ao,-15.935046379065668,18.177879620950563,64.71,2.93,100,91
balakhta,ru,55.08683141310189,91.8231436408762,14.94,11.95,100,95
bereda,so,14.621043095707279,50.12842999218353,56.66,7.0,100,91
lodja,cd,-3.3536160540444655,23.030822509467612,71.51,2.46,100,90
salalah,om,12.753849005483033,60.64000863413622,73.4,1.14,0,68
harindanga,in,21.404758906074363,88.68761201782326,57.2,3.44,0,88
manzhouli,cn,48.50604415681269,117.46430195311905,-20.69,7.49,3,84
arman,ru,56.702692752518004,147.35078485577526,-15.5,9.89,0,79
drovyanaya,ru,51.065448593046966,113.10492672220056,-20.2,4.47,19,69
alakurtti,ru,67.1551600573408,29.259241874607255,11.39,7.09,100,95
gainesville,us,34.26052551224956,-83.81775852812585,71.96,6.91,90,83
ribeira grande,pt,29.124945120549867,-42.55937311811351,60.8,27.63,75,82
leningradskiy,ru,84.36726735952715,176.01563129905924,-17.34,3.53,100,87
axim,gh,-1.5980737230818818,-3.4460376005300475,79.45,9.66,61,84
esperance,au,-44.81999831064984,126.20131309007195,62.6,6.91,75,94
parana,br,-12.90732554594345,-48.33098065211624,75.04,4.27,100,90
san cristobal,ec,-5.3935331653845395,-88.00801793390227,82.4,14.97,75,83
sola,vu,-12.831196784455216,171.82784453374137,82.15,19.66,100,82
havre-saint-pierre,ca,53.53917094013343,-63.14068025269323,24.8,8.05,90,50
komsomolskiy,ru,78.91500776904212,174.31901885938942,45.84,19.22,100,81
dzhankoy,ua,45.9473214919351,34.42396173414238,52.0,13.33,100,60
gondanglegi,id,-10.000277175339278,112.45746447710616,74.86,2.26,100,86
ojinaga,mx,29.916832076163928,-103.70433109645798,53.24,1.86,1,35
mansfield,gb,53.22927839901982,-1.2283997636169772,41.7,3.4,100,96
huarmey,pe,-15.300303883128393,-88.4641936189574,75.72,10.45,100,66
namibe,ao,-13.650895617940108,8.184972302393618,74.97,10.11,54,78
sur,om,17.372114617890702,61.050289918230504,67.32,8.55,0,72
luanda,ao,-10.21639731377968,12.564495550613486,82.4,9.22,20,74
saurimo,ao,-9.860526324131499,20.845269281577032,66.67,2.89,100,91
khani,ru,58.390804415923355,121.82462240293455,60.8,20.71,0,21
caruray,ph,10.866421120952666,118.60145229480344,78.06,5.64,100,81
najran,sa,19.101467290145578,47.25737743373713,59.0,2.28,0,36
ahipara,nz,-34.681020434383086,169.4400254127856,67.5,5.1,64,82
vila franca do campo,pt,38.94945798808581,-22.456034337316794,63.34,19.57,40,94
bandarbeyla,so,8.876005390161893,54.986618561142905,73.8,18.5,10,75
saint-georges,gf,7.420644753020881,-44.447691388546986,84.2,6.91,40,70
ostrovnoy,ru,67.83380125926038,39.50071752088937,11.48,22.3,100,95
rabo de peixe,pt,42.67463104140958,-22.95677568287971,63.36,19.57,40,94
fortuna,us,38.479534935674394,-133.87100399235217,47.12,21.85,90,81
atbasar,kz,52.057647623451885,68.63642178202704,13.89,9.55,80,96
piskavica,ba,44.87519692701784,17.061902372874414,30.2,2.3,0,86
huilong,cn,31.326180447623315,122.07921114914234,45.45,5.01,78,75
san ignacio,ph,7.048560924132531,126.6728635096137,74.8,7.31,87,70
meulaboh,id,-5.340062551828311,87.51132376038453,76.17,5.73,100,86
college,us,68.84958619359796,-149.8022054906382,-13.11,3.44,40,76
jaciara,br,-16.17633112438054,-55.11638961358676,85.64,5.12,100,61
show low,us,34.93376192055166,-109.81922046846363,39.2,14.97,1,30
bitung,id,2.8142385239699195,126.19198400593581,73.4,7.02,20,94
shimoda,jp,21.76825520162234,142.65762631876032,41.0,5.01,67,74
faanui,pf,-12.600190028846782,-156.0938446542514,81.28,15.35,95,72
nushki,pk,30.023851210008587,66.30016224213662,41.79,0.63,0,48
asfi,ma,34.06771981605516,-11.645247007583606,65.23,14.88,0,81
belaya gora,ru,67.0698151484068,147.83034119955096,-23.76,1.41,100,87
abnub,eg,27.332122099947895,29.72821265331598,59.0,8.75,0,47
kattivakkam,in,12.310839663691226,85.98676905617157,73.4,6.85,40,88
nisia floresta,br,-3.315274898630875,-26.088455613012655,86.0,19.57,20,54
kotdwara,in,29.700884341167864,78.6603484384849,51.85,5.01,0,48
tonder,dk,54.97284802161789,8.812344003733841,35.42,3.0,100,94
chanute,us,37.443730485018634,-95.50073873458017,29.5,9.22,90,74
